variant,mode,blockrows,steps,mean_ms,sd_ms,exe
customLife,sequential,,500,312.4506666666667,7.874905516188057,customLife_sequential
customLife,sequential,,1000,613.0523333333333,5.164915896916666,customLife_sequential
customLife,sequential,,1500,929.1096666666666,11.990436476162541,customLife_sequential
customLife,sequential,,2000,1282.3866666666668,25.633624185606063,customLife_sequential
customLife,sequential,,3000,1946.2166666666667,20.1412219644743,customLife_sequential
customLife,sequential,,4000,2539.063333333333,6.115751975204972,customLife_sequential
customLife,openMP_parallel_for,,500,62.05446666666666,38.577011090141355,customLife_openMP_parallel_for
customLife,openMP_parallel_for,,1000,91.94866666666667,3.380139360374886,customLife_openMP_parallel_for
customLife,openMP_parallel_for,,1500,116.9148,17.755660080098405,customLife_openMP_parallel_for
customLife,openMP_parallel_for,,2000,195.94666666666666,31.264537464816087,customLife_openMP_parallel_for
customLife,openMP_parallel_for,,3000,275.01666666666665,37.85327477980677,customLife_openMP_parallel_for
customLife,openMP_parallel_for,,4000,432.298,52.97180960347369,customLife_openMP_parallel_for
customLife,openMP_parallel_for_simd,,500,58.275333333333336,8.677429930700807,customLife_openMP_parallel_for_simd
customLife,openMP_parallel_for_simd,,1000,140.635,44.04519972331454,customLife_openMP_parallel_for_simd
customLife,openMP_parallel_for_simd,,1500,150.05033333333333,17.257893852443942,customLife_openMP_parallel_for_simd
customLife,openMP_parallel_for_simd,,2000,239.75900000000001,40.20536255277399,customLife_openMP_parallel_for_simd
customLife,openMP_parallel_for_simd,,3000,352.3193333333333,125.79938064588745,customLife_openMP_parallel_for_simd
customLife,openMP_parallel_for_simd,,4000,354.26233333333334,4.930349570658145,customLife_openMP_parallel_for_simd
customLife,openMP_parallel_tasks,2,500,296.632,54.0349357792407,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,2,1000,535.954,35.80676378376951,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,2,1500,753.0803333333333,23.477208470249547,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,2,2000,1111.99,64.09862557028818,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,2,3000,1997.9433333333334,206.59536366745715,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,2,4000,4166.83,1960.322564290547,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,4,500,283.52,58.51427918608129,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,4,1000,491.7296666666667,53.19807751121173,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,4,1500,641.574,124.03013739410274,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,4,2000,1213.2723333333333,492.42279326092216,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,4,3000,1672.8266666666666,316.4711475351619,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,4,4000,1489.84,230.74421220621477,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,8,500,278.1836666666667,45.33960947731635,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,8,1000,500.30466666666666,139.9655407265977,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,8,1500,774.727,124.61603694816598,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,8,2000,1468.8966666666668,304.2017085568207,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,8,3000,1276.0,126.1786926016697,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,8,4000,1402.1533333333334,127.3159179189922,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,16,500,206.95166666666668,35.38637679798384,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,16,1000,457.45733333333334,10.286121437267917,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,16,1500,687.8706666666667,59.3350877886676,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,16,2000,1012.9273333333333,208.8823191820909,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,16,3000,1822.8866666666665,344.92509161008013,customLife_openMP_parallel_tasks
customLife,openMP_parallel_tasks,16,4000,3208.37,1287.4652982507916,customLife_openMP_parallel_tasks
